timestamp,duck_id,lat,lon,temperature,snowfall,rain,wind
2/1/2025 0:00,duck_1,39.1,-90.05,45,0,0.1,6
2/1/2025 0:00,duck_2,38.95,-89.98,61,1.1,0,4
2/1/2025 0:00,duck_3,39.05,-90.12,55,0.5,0.3,10
2/1/2025 0:00,duck_4,39.2,-90.08,70,0,0,15
2/1/2025 0:00,duck_5,38.92,-89.9,28,1.3,0.4,2
2/1/2025 6:00,duck_1,39.15,-90.02,32,0.9,0.1,7
2/1/2025 6:00,duck_2,38.85,-89.95,51,1.6,0.4,1
2/1/2025 6:00,duck_3,39,-90.15,66,0,0,12
2/1/2025 6:00,duck_4,39.18,-90.06,59,1.1,0.6,5
2/1/2025 6:00,duck_5,38.99,-90.1,72,0.3,0.1,9
2/1/2025 12:00,duck_1,39.07,-90.03,58,0,0.4,0
2/1/2025 12:00,duck_2,39.12,-89.92,63,0.2,0.1,13
2/1/2025 12:00,duck_3,38.95,-90.19,71,1.3,0,4
2/1/2025 12:00,duck_4,39.25,-90.11,46,0.8,0.5,10
2/1/2025 12:00,duck_5,38.88,-89.89,35,0,0.3,8
2/1/2025 18:00,duck_1,39.05,-90.01,64,1.1,0.2,3
2/1/2025 18:00,duck_2,38.93,-90.16,55,0.5,0,15
2/1/2025 18:00,duck_3,39.15,-90.09,74,0,0.4,12
2/1/2025 18:00,duck_4,39.22,-90.13,68,0.2,0.2,1
2/1/2025 18:00,duck_5,38.9,-89.94,42,1.2,0.7,6
2/2/2025 0:00,duck_1,38.75,-89.85,66,0.2,0.6,2
2/2/2025 0:00,duck_2,38.82,-89.91,49,1,0.2,10
2/2/2025 0:00,duck_3,38.7,-89.77,35,0.6,0,14
2/2/2025 0:00,duck_4,38.88,-89.8,71,0.1,0.7,4
2/2/2025 0:00,duck_5,38.65,-89.93,58,1.5,0.5,9
2/2/2025 6:00,duck_1,38.69,-89.82,42,0.4,0.1,8
2/2/2025 6:00,duck_2,38.9,-89.76,60,1.7,0.4,1
2/2/2025 6:00,duck_3,38.85,-89.88,26,0.9,0.3,5
2/2/2025 6:00,duck_4,38.72,-89.98,39,0,0.1,15
2/2/2025 6:00,duck_5,38.8,-89.79,54,1.1,0,0
2/2/2025 12:00,duck_1,38.77,-89.8,64,0.3,0.4,12
2/2/2025 12:00,duck_2,38.68,-89.95,28,1.2,0.2,6
2/2/2025 12:00,duck_3,38.92,-89.72,55,0,0.7,3
2/2/2025 12:00,duck_4,38.82,-89.86,47,1.8,0,10
2/2/2025 12:00,duck_5,38.74,-89.78,36,1.1,0.1,14
2/2/2025 18:00,duck_1,38.65,-89.9,71,0.5,0.5,4
2/2/2025 18:00,duck_2,38.79,-89.83,59,0.3,0.4,13
2/2/2025 18:00,duck_3,38.92,-89.77,42,1,0.2,9
2/2/2025 18:00,duck_4,38.72,-89.92,50,0.1,0.1,7
2/2/2025 18:00,duck_5,38.88,-89.8,66,0.7,0.6,1
2/3/2025 0:00,duck_1,38.42,-89.84,54,0.3,0,2
2/3/2025 0:00,duck_2,38.39,-89.9,60,1.2,0.1,9
2/3/2025 0:00,duck_3,38.45,-89.82,41,1,0.3,6
2/3/2025 0:00,duck_4,38.31,-89.8,72,0,0.5,14
2/3/2025 0:00,duck_5,38.4,-89.91,36,0.5,0.1,0
2/3/2025 6:00,duck_1,38.44,-89.79,66,0.4,0.2,10
2/3/2025 6:00,duck_2,38.37,-89.86,58,0.6,0.6,4
2/3/2025 6:00,duck_3,38.41,-89.92,32,1.1,0.3,15
2/3/2025 6:00,duck_4,38.48,-89.81,70,0,0,7
2/3/2025 6:00,duck_5,38.36,-89.88,46,0.9,0.2,1
2/3/2025 12:00,duck_1,38.33,-89.85,73,1.6,0.1,6
2/3/2025 12:00,duck_2,38.4,-89.83,49,0.1,0.8,12
2/3/2025 12:00,duck_3,38.44,-89.78,58,0.4,0.4,9
2/3/2025 12:00,duck_4,38.39,-89.92,34,1.5,0,3
2/3/2025 12:00,duck_5,38.46,-89.8,61,0.7,0.3,8
2/3/2025 18:00,duck_1,38.41,-89.87,66,0.2,0.7,5
2/3/2025 18:00,duck_2,38.35,-89.81,37,1.3,0.1,14
2/3/2025 18:00,duck_3,38.49,-89.9,43,0.8,0.2,11
2/3/2025 18:00,duck_4,38.4,-89.79,78,0.4,0.4,2
2/3/2025 18:00,duck_5,38.33,-89.86,55,0,0.6,7
2/4/2025 0:00,duck_1,38.09,-89.78,46,1,0.1,12
2/4/2025 0:00,duck_2,38.15,-89.73,72,0.3,0,6
2/4/2025 0:00,duck_3,38.12,-89.81,33,1.2,0.4,14
2/4/2025 0:00,duck_4,38.07,-89.79,58,1.7,0.2,1
2/4/2025 0:00,duck_5,38.18,-89.82,41,0.6,0.5,9
2/4/2025 6:00,duck_1,38.13,-89.8,69,0.8,0.6,3
2/4/2025 6:00,duck_2,38.05,-89.77,23,1.5,0.3,15
2/4/2025 6:00,duck_3,38.11,-89.83,57,0,0.2,11
2/4/2025 6:00,duck_4,38.17,-89.75,76,1.2,0.1,5
2/4/2025 6:00,duck_5,38.08,-89.81,42,0.4,0.4,8
2/4/2025 12:00,duck_1,38.15,-89.85,61,0.2,0,0
2/4/2025 12:00,duck_2,38.04,-89.73,34,0.9,0.7,13
2/4/2025 12:00,duck_3,38.09,-89.76,44,1.1,0.3,2
2/4/2025 12:00,duck_4,38.18,-89.82,28,0.6,0.5,7
2/4/2025 12:00,duck_5,38.06,-89.8,55,1.7,0.2,10
2/4/2025 18:00,duck_1,38.14,-89.78,73,0.5,0.6,4
2/4/2025 18:00,duck_2,38.1,-89.86,49,1.8,0.1,9
2/4/2025 18:00,duck_3,38.17,-89.79,63,0.3,0.8,1
2/4/2025 18:00,duck_4,38.05,-89.74,39,1.1,0.2,12
2/4/2025 18:00,duck_5,38.09,-89.82,57,0.9,0,6
2/5/2025 0:00,duck_1,37.79,-89.76,45,0.2,0.2,5
2/5/2025 0:00,duck_2,37.84,-89.7,64,1.1,0.1,10
2/5/2025 0:00,duck_3,37.75,-89.79,32,0.8,0.4,14
2/5/2025 0:00,duck_4,37.82,-89.8,51,0,0.2,2
2/5/2025 0:00,duck_5,37.88,-89.74,69,1.2,0.7,7
2/5/2025 6:00,duck_1,37.76,-89.78,31,1.4,0.8,13
2/5/2025 6:00,duck_2,37.81,-89.73,28,0.3,0,4
2/5/2025 6:00,duck_3,37.85,-89.77,53,1.7,0.6,8
2/5/2025 6:00,duck_4,37.79,-89.82,43,0.9,0.2,15
2/5/2025 6:00,duck_5,37.73,-89.79,66,0.6,0.3,0
2/5/2025 12:00,duck_1,37.83,-89.74,74,1,0.1,2
2/5/2025 12:00,duck_2,37.78,-89.8,45,0.2,0.5,11
2/5/2025 12:00,duck_3,37.71,-89.76,38,1.6,0.2,6
2/5/2025 12:00,duck_4,37.86,-89.73,55,0.4,0.4,3
2/5/2025 12:00,duck_5,37.8,-89.79,61,1.1,0,14
2/5/2025 18:00,duck_1,37.77,-89.75,59,0.8,0.3,12
2/5/2025 18:00,duck_2,37.82,-89.8,70,0.5,0.1,1
2/5/2025 18:00,duck_3,37.74,-89.78,36,1.3,0.7,9
2/5/2025 18:00,duck_4,37.88,-89.74,48,0,0.2,5
2/5/2025 18:00,duck_5,37.79,-89.82,66,0.7,0.6,10
