Duck_id,base_time,forecast_lon,forecast_lat,start_lon,start_lat
234541,2024-09-12 19:21:11,-103.698,51.14,-103.69660949707033,51.14326477050781
234541,2024-09-12 20:21:27,-103.694,51.143,-103.69441986083984,51.142459869384766
234541,2024-09-12 21:21:11,-103.697,51.143,-103.69440460205078,51.14245223999024
234541,2024-09-12 22:21:21,-103.694,51.143,-103.69448852539062,51.14241409301758
234541,2024-09-12 23:21:11,-103.694,51.143,-103.69434356689452,51.14242172241211
234541,2024-09-13 00:21:11,-103.694,51.143,-103.6941146850586,51.14239501953125
234541,2024-09-13 01:21:27,-103.698,51.14,-103.69464874267578,51.14238357543945
234541,2024-09-13 02:20:55,-103.69,51.15,-103.69161987304688,51.14995574951172
234541,2024-09-13 03:21:11,-103.698,51.14,-103.69148254394533,51.15021133422852
234541,2024-09-13 04:21:27,-103.69,51.15,-103.69159698486328,51.15011215209961
234541,2024-09-13 05:20:56,-103.691,51.15,-103.69151306152344,51.14999771118164
234541,2024-09-13 06:20:55,-103.692,51.15,-103.6914291381836,51.15005493164063
234541,2024-09-13 07:21:33,-103.691,51.15,-103.69151306152344,51.150146484375
234541,2024-09-13 08:20:55,-103.691,51.15,-103.6915512084961,51.1501350402832
234541,2024-09-13 09:20:53,-103.691,51.15,-103.6915283203125,51.15016555786133
234541,2024-09-13 10:21:27,-103.692,51.15,-103.69149780273438,51.150169372558594
234541,2024-09-13 11:21:33,-103.691,51.15,-103.69161224365234,51.15024948120117
234541,2024-09-13 12:21:41,-103.698,51.14,-103.69454193115234,51.14247894287109
234541,2024-09-13 13:21:27,-103.692,51.15,-103.69450378417967,51.14247894287109
234541,2024-09-13 14:20:54,-103.698,51.14,-103.69466400146484,51.142333984375
234541,2024-09-13 15:22:15,-103.697,51.14,-103.697998046875,51.14033508300781
234541,2024-09-13 16:20:54,-103.698,51.14,-103.69461059570312,51.14247512817383
234541,2024-09-13 17:21:01,-103.694,51.143,-103.69440460205078,51.14246368408203
234541,2024-09-13 18:21:33,-103.694,51.143,-103.69441986083984,51.14244842529297
234541,2024-09-13 19:21:00,-103.697,51.143,-103.69441986083984,51.14244842529297
234541,2024-09-13 20:21:11,-103.694,51.143,-103.69438934326172,51.14244842529297
234541,2024-09-13 21:20:55,-103.71,51.143,-103.71737670898438,51.14325714111328
234541,2024-09-13 22:21:33,-103.694,51.142,-103.7174072265625,51.14316940307617
234541,2024-09-13 23:20:55,-103.71,51.142,-103.70956420898438,51.14292907714844
234541,2024-09-14 00:20:56,-103.71,51.143,-103.71591186523438,51.1434440612793
234541,2024-09-14 01:21:11,-103.722,51.143,-103.71039581298828,51.14227294921875
234541,2024-09-14 02:21:27,-103.716,51.143,-103.71029663085938,51.14258575439453
234541,2024-09-14 03:20:58,-103.716,51.143,-103.70972442626952,51.14323425292969
234541,2024-09-14 04:21:27,-103.71,51.142,-103.70980834960938,51.14321899414063
234541,2024-09-14 05:21:05,-103.71,51.143,-103.71047973632812,51.14226150512695
234541,2024-09-14 06:22:05,-103.71,51.143,-103.71043395996094,51.14230728149414
234541,2024-09-14 07:21:11,-103.71,51.143,-103.71026611328124,51.14229583740234
234541,2024-09-14 08:21:11,-103.722,51.143,-103.71033477783205,51.14229202270508
234541,2024-09-14 09:21:27,-103.722,51.143,-103.71031951904295,51.14228057861328
234541,2024-09-14 10:20:58,-103.71,51.142,-103.70989990234376,51.14287567138672
234541,2024-09-14 11:21:41,-103.722,51.143,-103.71039581298828,51.142276763916016
234541,2024-09-14 12:21:12,-103.722,51.144,-103.7222137451172,51.14328384399414
234541,2024-09-14 13:21:27,-103.722,51.144,-103.7222137451172,51.14322662353516
234541,2024-09-14 14:20:56,-103.722,51.144,-103.72230529785156,51.14344024658203
234541,2024-09-14 15:21:33,-103.723,51.144,-103.7223892211914,51.14320755004883
234541,2024-09-14 16:20:54,-103.722,51.144,-103.72235107421876,51.14327621459961
234541,2024-09-14 17:21:37,-103.722,51.144,-103.72227478027344,51.14348983764648
234541,2024-09-14 18:21:36,-103.723,51.144,-103.7223129272461,51.14322662353516
234541,2024-09-14 19:21:11,-103.723,51.144,-103.72224426269533,51.14329147338867
234541,2024-09-14 20:21:22,-103.722,51.144,-103.72232055664062,51.14323425292969
234541,2024-09-14 21:21:11,-103.722,51.144,-103.72241973876952,51.14341735839844
234541,2024-09-14 22:21:27,-103.722,51.144,-103.7221450805664,51.14329147338867
234541,2024-09-14 23:20:55,-103.723,51.144,-103.72237396240234,51.143314361572266
234541,2024-09-15 00:21:27,-103.723,51.144,-103.72257995605467,51.14345932006836
234541,2024-09-15 01:22:03,-103.722,51.144,-103.72228240966795,51.14330291748047
234541,2024-09-15 02:20:57,-103.722,51.143,-103.70738220214844,51.15283203125
234541,2024-09-15 03:21:27,-103.707,51.153,-103.70783996582033,51.15299987792969
234541,2024-09-15 04:22:03,-103.722,51.143,-103.70779418945312,51.153053283691406
234541,2024-09-15 05:20:55,-103.707,51.153,-103.70755004882812,51.15309143066406
234541,2024-09-15 06:21:27,-103.722,51.143,-103.70777893066406,51.15304946899414
234541,2024-09-15 07:21:27,-103.707,51.153,-103.70773315429688,51.15304183959961
234541,2024-09-15 08:20:56,-103.722,51.143,-103.70783996582033,51.1529426574707
234541,2024-09-15 09:21:11,-103.707,51.153,-103.70777893066406,51.1530647277832
234541,2024-09-15 10:21:27,-103.722,51.143,-103.70762634277344,51.15302658081055
234541,2024-09-15 11:21:33,-103.707,51.153,-103.7076416015625,51.15299606323242
234541,2024-09-15 12:20:56,-103.722,51.144,-103.72219848632812,51.14322662353516
234541,2024-09-15 13:21:33,-103.722,51.143,-103.72257232666016,51.14348602294922
234541,2024-09-15 14:20:53,-103.722,51.144,-103.7224349975586,51.14348602294922
234541,2024-09-15 15:21:11,-103.722,51.144,-103.722412109375,51.1433219909668
234541,2024-09-15 16:21:27,-103.722,51.144,-103.72225952148438,51.1433219909668
234541,2024-09-15 17:20:57,-103.723,51.144,-103.72240447998048,51.14344787597656
234541,2024-09-15 18:21:17,-103.722,51.144,-103.7222900390625,51.14335250854492
234541,2024-09-15 19:22:03,-103.723,51.144,-103.72241973876952,51.14328002929688
234541,2024-09-15 20:21:00,-103.722,51.144,-103.72272491455078,51.14365005493164
234541,2024-09-15 21:21:11,-103.722,51.144,-103.72235870361328,51.143402099609375
234541,2024-09-15 22:21:27,-103.723,51.144,-103.72229766845705,51.14331817626953
234541,2024-09-15 23:20:54,-103.722,51.144,-103.7221221923828,51.14331817626953
234541,2024-09-16 00:21:19,-103.722,51.144,-103.7222900390625,51.14346694946289
234541,2024-09-16 01:21:33,-103.723,51.144,-103.7223892211914,51.14329147338867
234541,2024-09-16 02:21:04,-103.692,51.15,-103.70807647705078,51.14433288574219
234541,2024-09-16 03:21:27,-103.692,51.15,-103.70804595947266,51.14408874511719
234541,2024-09-16 04:21:27,-103.692,51.15,-103.7081298828125,51.14434051513672
234541,2024-09-16 05:21:21,-103.692,51.15,-103.70803833007812,51.14412689208984
234541,2024-09-16 06:20:54,-103.692,51.15,-103.70787048339844,51.14397811889648
234541,2024-09-16 07:21:27,-103.722,51.143,-103.70780181884766,51.14410018920898
234541,2024-09-16 08:21:02,-103.69,51.15,-103.69164276123048,51.15024948120117
234541,2024-09-16 09:21:27,-103.692,51.15,-103.69149017333984,51.1501579284668
234541,2024-09-16 10:20:55,-103.692,51.15,-103.69142150878906,51.1502799987793
234541,2024-09-16 11:21:11,-103.692,51.15,-103.69147491455078,51.15008163452149
234541,2024-09-16 12:21:27,-103.722,51.144,-103.7223129272461,51.14338302612305
234541,2024-09-16 13:21:27,-103.722,51.144,-103.72240447998048,51.14345169067383
234541,2024-09-16 14:20:54,-103.722,51.144,-103.72239685058594,51.143463134765625
234541,2024-09-16 15:21:33,-103.722,51.144,-103.72223663330078,51.14344024658203
234541,2024-09-16 16:20:56,-103.722,51.144,-103.72247314453124,51.14348220825195
234541,2024-09-16 17:20:58,-103.722,51.143,-103.722412109375,51.143531799316406
234541,2024-09-16 18:21:51,-103.722,51.143,-103.72248840332033,51.14350128173828
234541,2024-09-16 19:21:08,-103.723,51.144,-103.72197723388672,51.14356994628906
234541,2024-09-16 20:20:58,-103.723,51.144,-103.72244262695312,51.14356231689453
234541,2024-09-16 21:21:27,-103.722,51.143,-103.7224578857422,51.14353561401367
234541,2024-09-16 22:21:00,-103.722,51.144,-103.72217559814452,51.14348983764648
234541,2024-09-16 23:21:33,-103.722,51.143,-103.72246551513672,51.14352798461914
234541,2024-09-17 00:21:27,-103.723,51.144,-103.72232818603516,51.143287658691406
234541,2024-09-17 01:21:11,-103.723,51.144,-103.7222137451172,51.14324569702149
234541,2024-09-17 02:21:27,-103.723,51.144,-103.72222137451172,51.14334487915039
234541,2024-09-17 03:20:56,-103.722,51.144,-103.72207641601562,51.14331817626953
234541,2024-09-17 04:21:21,-103.722,51.144,-103.72233581542967,51.1431999206543
234541,2024-09-17 05:21:05,-103.723,51.144,-103.72264099121094,51.14345169067383
234541,2024-09-17 06:21:26,-103.722,51.144,-103.7222137451172,51.14345550537109
234541,2024-09-17 08:21:57,-103.723,51.144,-103.72257232666016,51.14341735839844
234541,2024-09-17 09:21:11,-103.722,51.144,-103.72254180908205,51.14352416992188
234541,2024-09-17 10:20:56,-103.722,51.144,-103.72203063964844,51.14326095581055
234541,2024-09-17 11:21:11,-103.723,51.144,-103.72209167480467,51.1432991027832
234541,2024-09-17 12:21:33,-103.722,51.143,-103.72251892089844,51.14341735839844
234541,2024-09-17 13:21:33,-103.722,51.144,-103.72220611572266,51.1434440612793
234541,2024-09-17 14:20:56,-103.723,51.144,-103.72238159179688,51.14342498779297
234541,2024-09-17 15:21:14,-103.723,51.144,-103.72216796875,51.14341354370117
234541,2024-09-17 16:21:51,-103.723,51.144,-103.72248840332033,51.14337539672852
234541,2024-09-17 17:22:03,-103.723,51.144,-103.7224349975586,51.14351272583008
234541,2024-09-17 18:20:56,-103.722,51.144,-103.72188568115234,51.14323043823242
234541,2024-09-17 19:21:19,-103.723,51.144,-103.72207641601562,51.14329528808594
234541,2024-09-17 20:21:27,-103.722,51.143,-103.7224349975586,51.14357376098633
234541,2024-09-17 21:22:03,-103.722,51.143,-103.72242736816406,51.1435432434082
234541,2024-09-17 22:21:21,-103.722,51.144,-103.72222900390624,51.14340972900391
234541,2024-09-17 23:20:55,-103.722,51.144,-103.72220611572266,51.14339447021485
234541,2024-09-18 00:21:27,-103.722,51.144,-103.7226104736328,51.14355850219727
234541,2024-09-18 01:21:17,-103.723,51.144,-103.72228240966795,51.14347076416016
234541,2024-09-18 02:21:21,-103.723,51.144,-103.72213745117188,51.143253326416016
234541,2024-09-18 03:21:11,-103.722,51.144,-103.72207641601562,51.14323043823242
234541,2024-09-18 04:21:21,-103.691,51.15,-103.69157409667967,51.15030288696289
234541,2024-09-18 05:20:56,-103.698,51.14,-103.69139099121094,51.15010070800781
234541,2024-09-18 06:21:27,-103.691,51.15,-103.69151306152344,51.15019989013672
234541,2024-09-18 07:21:11,-103.692,51.15,-103.69148254394533,51.15015411376953
234541,2024-09-18 08:20:59,-103.691,51.15,-103.69152069091795,51.150203704833984
234541,2024-09-18 09:21:27,-103.691,51.151,-103.68962860107422,51.149452209472656
234541,2024-09-18 10:21:01,-103.692,51.15,-103.69139099121094,51.15041732788086
234541,2024-09-18 11:21:21,-103.69,51.15,-103.69161987304688,51.1501350402832
234541,2024-09-18 12:21:34,-103.692,51.15,-103.71876525878906,51.14225006103516
234541,2024-09-18 13:20:59,-103.722,51.143,-103.72258758544922,51.143550872802734
234541,2024-09-18 14:20:56,-103.722,51.144,-103.72207641601562,51.14329528808594
234541,2024-09-18 15:22:11,-103.722,51.144,-103.72238159179688,51.14340972900391
234541,2024-09-18 16:20:58,-103.723,51.144,-103.72213745117188,51.14345169067383
234541,2024-09-18 17:21:27,-103.722,51.144,-103.7226104736328,51.14356994628906
234541,2024-09-18 18:21:11,-103.722,51.144,-103.72254943847656,51.14371490478516
234541,2024-09-18 19:21:21,-103.722,51.144,-103.72235870361328,51.14327239990234
234541,2024-09-18 20:21:27,-103.723,51.144,-103.7223129272461,51.14348220825195
234541,2024-09-18 21:21:11,-103.722,51.144,-103.72217559814452,51.14342498779297
234541,2024-09-18 22:21:33,-103.722,51.144,-103.7222671508789,51.14347457885742
234541,2024-09-18 23:20:52,-103.722,51.144,-103.72222137451172,51.14347457885742
234541,2024-09-19 00:21:27,-103.722,51.144,-103.7223892211914,51.14347457885742
234541,2024-09-19 01:20:58,-103.723,51.144,-103.72245025634766,51.14355850219727
234541,2024-09-19 02:21:41,-103.691,51.15,-103.69168853759766,51.14999008178711
234541,2024-09-19 03:21:11,-103.692,51.15,-103.6914520263672,51.15015411376953
234541,2024-09-19 04:21:11,-103.691,51.15,-103.6916275024414,51.15018844604492
234541,2024-09-19 05:21:11,-103.722,51.143,-103.7229995727539,51.14356231689453
234541,2024-09-19 06:21:27,-103.722,51.143,-103.72262573242188,51.14351272583008
234541,2024-09-19 07:21:27,-103.723,51.144,-103.72211456298828,51.14356231689453
234541,2024-09-19 08:21:12,-103.722,51.144,-103.7224578857422,51.14342498779297
234541,2024-09-19 09:21:27,-103.723,51.144,-103.72246551513672,51.1434326171875
234541,2024-09-19 10:21:11,-103.722,51.144,-103.7224578857422,51.14332580566406
234541,2024-09-19 11:21:11,-103.723,51.144,-103.72212982177734,51.14345550537109
234541,2024-09-19 12:22:15,-103.722,51.144,-103.72213745117188,51.14328384399414
234541,2024-09-19 13:20:52,-103.722,51.144,-103.72222137451172,51.1434440612793
234541,2024-09-19 14:20:54,-103.723,51.144,-103.72235870361328,51.14344024658203
234541,2024-09-19 15:21:27,-103.722,51.144,-103.7223892211914,51.14346694946289
234541,2024-09-19 16:20:52,-103.722,51.144,-103.72224426269533,51.14347457885742
234541,2024-09-19 17:20:58,-103.722,51.144,-103.7223892211914,51.1433219909668
234541,2024-09-19 18:21:20,-103.722,51.144,-103.72256469726562,51.14350891113281
234541,2024-09-19 19:21:27,-103.722,51.143,-103.72225952148438,51.14352416992188
234541,2024-09-19 20:21:08,-103.723,51.144,-103.72212982177734,51.14312362670898
234541,2024-09-19 21:21:11,-103.722,51.144,-103.7223892211914,51.14349365234375
234541,2024-09-19 22:21:21,-103.722,51.143,-103.72244262695312,51.14351272583008
